StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q152_First Click,Q152_Last Click,Q152_Page Submit,Q152_Click Count,Q3,Q153_First Click,Q153_Last Click,Q153_Page Submit,Q153_Click Count,Q154_First Click,Q154_Last Click,Q154_Page Submit,Q154_Click Count,Q252_1,Q252_2,Q252_3,Q253_1,Q253_2,Q253_3,Q255_1,Q255_2,Q255_3,Q256_1,Q256_2,Q256_3,Q257_2,Q257_3,Q257_4,Q258_1,Q258_2,Q258_3,Q156_First Click,Q156_Last Click,Q156_Page Submit,Q156_Click Count,MTurk_ID,Age,Gender,Gender_4_TEXT,Zip_Code,Q129,Ed_Level,Ed_Level_Mom,Q165,Q166,Q158_First Click,Q158_Last Click,Q158_Page Submit,Q158_Click Count,health_stat_age_1,general_health_1,gen_anxiety_1,depression_1,Q159_First Click,Q159_Last Click,Q159_Page Submit,Q159_Click Count,Conserv_scale_1,Conserv_scale_2,Conserv_scale_3,Conserv_scale_4,Conserv_scale_5,Conserv_scale_6,Conserv_scale_7,Q160_First Click,Q160_Last Click,Q160_Page Submit,Q160_Click Count,Numeracy_1,Numeracy_2,Numeracy_3,Numeracy_4,Q124_1,Q125_1,Q126_1,Q127_1,Q161_First Click,Q161_Last Click,Q161_Page Submit,Q161_Click Count,Q122_1,Q122_2,Q122_3,Q122_4,Q122_5,Q122_6,Q122_7,Q162_First Click,Q162_Last Click,Q162_Page Submit,Q162_Click Count,know_someone,prob_of_contract_1,Q133_1,Q132_1,corona_news_1,corona_anxious_1,past_social_iso_1,futur_social_iso_1,Q167_1,Q168,Q163_First Click,Q163_Last Click,Q163_Page Submit,Q163_Click Count,Q177_First Click,Q177_Last Click,Q177_Page Submit,Q177_Click Count,news,income_down_1,essential_worker,optimism_1,trump_approval_1,Q164_First Click,Q164_Last Click,Q164_Page Submit,Q164_Click Count,Effort_1,Q41,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you understand the information above and consent to participate in the experiment?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please indicate the total number confirmed cases you expect in the hypothetical country after this article was written (e.g., X cases after 3 days). - predicted number of confirmed cases in 3 days","Please indicate the total number confirmed cases you expect in the hypothetical country after this article was written (e.g., X cases after 3 days). - predicted number of confirmed cases in 6 days","Please indicate the total number confirmed cases you expect in the hypothetical country after this article was written (e.g., X cases after 3 days). - predicted number of confirmed cases in 9 days",How confident are you in the predictions you made above? - 3 days,How confident are you in the predictions you made above? - 6 days,How confident are you in the predictions you made above? - 9 days,"Please indicate the total number actual cases you expect in the hypothetical country after this article was written (e.g., X cases after 3 days). - predicted number of actual cases in 3 days","Please indicate the total number actual cases you expect in the hypothetical country after this article was written (e.g., X cases after 3 days). - predicted number of actual cases in 6 days","Please indicate the total number actual cases you expect in the hypothetical country after this article was written (e.g., X cases after 3 days). - predicted number of actual cases in 9 days",How confident are you in the predictions you made above? - 3 days,How confident are you in the predictions you made above? - 6 days,How confident are you in the predictions you made above? - 9 days,"Please indicate the total number deaths from COVID-19 you expect in the hypothetical country after this article was written (e.g., X deaths after 3 days) - predicted numbers of deaths in 3 days","Please indicate the total number deaths from COVID-19 you expect in the hypothetical country after this article was written (e.g., X deaths after 3 days) - predicted numbers of deaths in 6 days","Please indicate the total number deaths from COVID-19 you expect in the hypothetical country after this article was written (e.g., X deaths after 3 days) - predicted numbers of deaths in 9 days",How confident are you in the predictions you made above? - 3 days,How confident are you in the predictions you made above? - 6 days,How confident are you in the predictions you made above? - 9 days,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,MTurk Worker ID,Age,Gender - Selected Choice,Gender - Other - Text,Please enter your current zip code:,Who is the current president of the United States?,What is your highest level of education?,What is your mother's highest level of education?,At what age did you begin learning English?,What language do you use most often at home?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you compare your general health status compared to that of others your own age?,How would you rate your general health status?,"Over the last 2 weeks, how often have you been feeling nervous, anxious, or on edge?","Over the last 2 weeks, how often have you been feeling down, depressed, or hopeless?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - I am politically more liberal than conservative.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - In any election, given a choice between a Republican and a Democratic candidate, I will select the Republican over the Democrat.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - Communism has been proven to be a failed political ideology.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - I cannot see myself ever voting to elect conservative candidates.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - The major national media are too left-wing for my taste.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - Socialism has many advantages over capitalism.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - On balance, I lean politically more to the left than to the right.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Rate the following on a scale of 1 (not at all good) to 6 (extremely good). - How good are you at working with fractions?,Rate the following on a scale of 1 (not at all good) to 6 (extremely good). - How good are you at working with percentages?,Rate the following on a scale of 1 (not at all good) to 6 (extremely good). - How good are you at calculating a 15% tip?,Rate the following on a scale of 1 (not at all good) to 6 (extremely good). - How good are you at figuring out how much a shirt will cost if it is 25% off?,"When reading the newspaper, how helpful do you find tables
and graphs that are parts of a story?","When people tell you the chance of something happening, do
you prefer that they use words (‘‘it rarely happens’’) or
numbers (‘‘there’s a 1% chance’’)?","When you hear a weather forecast, do you prefer predictions
using percentages (e.g., ‘‘there will be a 20% chance of rain
today’’) or predictions using only words (e.g., ‘‘there is a
small chance of rain today’’)?",How often do you find numerical information to be useful?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I do not feel comfortable about taking chances.,Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I prefer situations that have foreseeable outcomes.,"Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - Before I make a decision, I like to be absolutely sure how things will turn out.",Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I avoid situations that have uncertain outcomes.,Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I feel comfortable improvising in new situations.,Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I feel nervous when I have to make decisions in uncertain situations.,"Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - For this question, select 6",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you personally know someone who has/had the novel coronavirus?,Estimate the probability that you will have contracted the illness within 9 days (0-100%),Estimate the probability that you will have been hospitalized because of the illness within 9 days (0-100%),Estimate the probability that you will have died from the illness within 9 days (0-100%),How closely have you been following the news on the coronavirus?,How anxious are you about the current virus situation?,How successful have you been in engaging in social isolation?,How successful will you be at engaging in social isolation in the next week?,Estimate how much time will pass before we can stop social distancing.,Estimate the maximum number of new cases/day that will be reported in the US.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of the following is your preferred news source?,To what extent has your household income decreased due to the coronavirus?,Are you an essential worker who will continue working during stay-at-home orders?,"How much do you agree with the following statement: ""Overall, I expect more good things to happen to me than bad""",Do you approve or disapprove of the way Donald Trump is handling his job as president?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"On a scale of 1 to 10, how much effort did you put into this study? (You will be compensated regardless of your response)","Thank you for participating in the study. 

Your MTurk Completion Code is: [Field-Random%20ID]

 

Copy this value to paste into MTurk. When you have copied this ID, please click the next button to submit your survey.",Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID268_FIRST_CLICK""}","{""ImportId"":""QID268_LAST_CLICK""}","{""ImportId"":""QID268_PAGE_SUBMIT""}","{""ImportId"":""QID268_CLICK_COUNT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID269_FIRST_CLICK""}","{""ImportId"":""QID269_LAST_CLICK""}","{""ImportId"":""QID269_PAGE_SUBMIT""}","{""ImportId"":""QID269_CLICK_COUNT""}","{""ImportId"":""QID270_FIRST_CLICK""}","{""ImportId"":""QID270_LAST_CLICK""}","{""ImportId"":""QID270_PAGE_SUBMIT""}","{""ImportId"":""QID270_CLICK_COUNT""}","{""ImportId"":""QID252_1""}","{""ImportId"":""QID252_2""}","{""ImportId"":""QID252_3""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID253_2""}","{""ImportId"":""QID253_3""}","{""ImportId"":""QID255_1""}","{""ImportId"":""QID255_2""}","{""ImportId"":""QID255_3""}","{""ImportId"":""QID256_1""}","{""ImportId"":""QID256_2""}","{""ImportId"":""QID256_3""}","{""ImportId"":""QID257_2""}","{""ImportId"":""QID257_3""}","{""ImportId"":""QID257_4""}","{""ImportId"":""QID258_1""}","{""ImportId"":""QID258_2""}","{""ImportId"":""QID258_3""}","{""ImportId"":""QID272_FIRST_CLICK""}","{""ImportId"":""QID272_LAST_CLICK""}","{""ImportId"":""QID272_PAGE_SUBMIT""}","{""ImportId"":""QID272_CLICK_COUNT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_4_TEXT""}","{""ImportId"":""QID217_TEXT""}","{""ImportId"":""QID245_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID227""}","{""ImportId"":""QID281_TEXT""}","{""ImportId"":""QID282_TEXT""}","{""ImportId"":""QID274_FIRST_CLICK""}","{""ImportId"":""QID274_LAST_CLICK""}","{""ImportId"":""QID274_PAGE_SUBMIT""}","{""ImportId"":""QID274_CLICK_COUNT""}","{""ImportId"":""QID221_1""}","{""ImportId"":""QID219_2""}","{""ImportId"":""QID229_1""}","{""ImportId"":""QID230_1""}","{""ImportId"":""QID275_FIRST_CLICK""}","{""ImportId"":""QID275_LAST_CLICK""}","{""ImportId"":""QID275_PAGE_SUBMIT""}","{""ImportId"":""QID275_CLICK_COUNT""}","{""ImportId"":""QID210_1""}","{""ImportId"":""QID210_4""}","{""ImportId"":""QID210_5""}","{""ImportId"":""QID210_6""}","{""ImportId"":""QID210_7""}","{""ImportId"":""QID210_12""}","{""ImportId"":""QID210_13""}","{""ImportId"":""QID276_FIRST_CLICK""}","{""ImportId"":""QID276_LAST_CLICK""}","{""ImportId"":""QID276_PAGE_SUBMIT""}","{""ImportId"":""QID276_CLICK_COUNT""}","{""ImportId"":""QID239_1""}","{""ImportId"":""QID239_2""}","{""ImportId"":""QID239_3""}","{""ImportId"":""QID239_4""}","{""ImportId"":""QID240_1""}","{""ImportId"":""QID241_1""}","{""ImportId"":""QID242_1""}","{""ImportId"":""QID243_1""}","{""ImportId"":""QID277_FIRST_CLICK""}","{""ImportId"":""QID277_LAST_CLICK""}","{""ImportId"":""QID277_PAGE_SUBMIT""}","{""ImportId"":""QID277_CLICK_COUNT""}","{""ImportId"":""QID238_1""}","{""ImportId"":""QID238_2""}","{""ImportId"":""QID238_3""}","{""ImportId"":""QID238_4""}","{""ImportId"":""QID238_5""}","{""ImportId"":""QID238_6""}","{""ImportId"":""QID238_8""}","{""ImportId"":""QID278_FIRST_CLICK""}","{""ImportId"":""QID278_LAST_CLICK""}","{""ImportId"":""QID278_PAGE_SUBMIT""}","{""ImportId"":""QID278_CLICK_COUNT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID222_1""}","{""ImportId"":""QID249_1""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID231_1""}","{""ImportId"":""QID232_1""}","{""ImportId"":""QID233_1""}","{""ImportId"":""QID235_1""}","{""ImportId"":""QID283_1""}","{""ImportId"":""QID284_TEXT""}","{""ImportId"":""QID279_FIRST_CLICK""}","{""ImportId"":""QID279_LAST_CLICK""}","{""ImportId"":""QID279_PAGE_SUBMIT""}","{""ImportId"":""QID279_CLICK_COUNT""}","{""ImportId"":""QID293_FIRST_CLICK""}","{""ImportId"":""QID293_LAST_CLICK""}","{""ImportId"":""QID293_PAGE_SUBMIT""}","{""ImportId"":""QID293_CLICK_COUNT""}","{""ImportId"":""QID286""}","{""ImportId"":""QID289_1""}","{""ImportId"":""QID290""}","{""ImportId"":""QID291_1""}","{""ImportId"":""QID292_1""}","{""ImportId"":""QID280_FIRST_CLICK""}","{""ImportId"":""QID280_LAST_CLICK""}","{""ImportId"":""QID280_PAGE_SUBMIT""}","{""ImportId"":""QID280_CLICK_COUNT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID91""}","{""ImportId"":""Random ID""}"
2020-04-24 15:23:53,2020-04-24 15:28:15,IP Address,71.195.32.18,100,261,True,2020-04-24 15:28:15,R_1JXiaS9oiScGPoV,,,,,44.8285064697265625,-93.3535003662109375,anonymous,EN,0,0,13.65,0,"Yes, I understand and consent",0,0,2.84,0,0,0,3.003,0,600000,850000,1200000,40,25,15,1100000,1600000,2300000,20,5,3,20000,50000,1100000,24,10,5,0,0,109.598,0,AEF74ZYJTTEIA,41,Male,,55437,Trump,4-year degree,Advanced Degree,0,English,0,0,15.334,0,Slightly worse,Neither good nor poor,Not at all,Several days,0,0,9.155,0,-1,1,3,-3,-2,-3,-1,0,0,13.127,0,6 (extremely good),6 (extremely good),6 (extremely good),6 (extremely good),5,5,2,6 (very often),0,0,12.796,0,5,3,2,3,6,3,6,0,0,10.07,0,No,15,1,1,40,15,75,70,2 months,100000,0,0,44.832,0,0,0,12.667,0,Washington Post,0,Yes,I agree a lot,Strongly Disapprove,0,0,2.556,0,9,I have copied my completion code.,2074
2020-04-24 15:25:49,2020-04-24 15:34:14,IP Address,24.250.244.40,100,504,True,2020-04-24 15:34:14,R_1rHMNDQT2ELr3l5,,,,,29.1656951904296875,-82.12729644775390625,anonymous,EN,0,0,25.653,0,"Yes, I understand and consent",4.431,6.325,7.225,3,0,0,13.281,0,415000,455000,520000,61,57,55,425000,475000,525000,51,52,53,18000,23000,31000,51,52,53,10.446,163.167,164.279,27,A26T17KHYA5S3S,48,Male,,34479,Trump,Advanced Degree,High school,1,english,1.759,33.988,38.203,13,Neither better nor worse,Quite Good,Not at all,Not at all,4.386,18.036,18.987,5,4,-4,-4,4,-4,4,4,9.752,42.249,43.137,8,4,4,4,4,4,5,2,5,4.188,43.945,44.88,10,5,4,4,4,5,4,6,7.974,32.278,33.101,9,No,5,1,1,73,24,80,82,2 months,15000,2.837,48.354,53.45,16,2.371,31.977,33.202,9,Fox News,0,Yes,I agree a little,Strongly Approve,3.16,3.16,4.643,1,10,I have copied my completion code.,7298
2020-04-24 15:25:28,2020-04-24 15:34:30,IP Address,64.33.238.29,100,541,True,2020-04-24 15:34:30,R_9GOIrapPKTlkFRD,,,,,45.5160980224609375,-102.482696533203125,anonymous,EN,0,0,11.844,0,"Yes, I understand and consent",7.623,7.623,8.602,1,0,0,6.765,0,393795,393806,393845,80,78,87,450235,455623,479256,64,57,66,12696,12701,12709,53,53,56,72.896,185.137,186.303,20,A13UMY3NL33676,37,Female,,57788,trump,High school,High school,1,English,6.637,30.347,31.361,12,Much Better,Very Good,More than half the days,Several days,5.181,11.472,12.102,4,4,-3,0,4,-2,0,3,20.059,41.822,43.122,9,3,4,4,5,5,2,5,5,13.629,33.045,34.118,8,6,2,2,2,2,1 (Strongly Agree),6,30.05,44.4,46.19,7,No,10,1,1,62,80,100,100,2 months,146,35.303,72.322,79.079,10,2.192,31.946,32.945,5,ABC News,87,Yes,I agree a little,Strongly Approve,5.566,5.566,6.656,1,10,I have copied my completion code.,5696
2020-04-24 15:28:03,2020-04-24 15:35:30,IP Address,68.34.149.67,100,446,True,2020-04-24 15:35:30,R_3hlNJG1nOtjVEe0,,,,,35.027801513671875,-85.1461029052734375,anonymous,EN,0,0,2.783,0,"Yes, I understand and consent",2.277,2.277,2.984,1,0,0,12.043,0,480000,570000,700000,60,50,50,500000,600000,775000,50,50,50,15000,20000,22500,61,52,52,87.569,232.494,233.795,17,A1TGBCLWRWTR92,41,Male,,37421,Donald Trump,Advanced Degree,High school,birth,English,4.213,19.133,27.198,8,Slightly Better,Neither good nor poor,Several days,Several days,2.316,11.604,12.501,4,-4,4,2,1,2,-1,-4,2.699,29.743,31.046,8,6 (extremely good),6 (extremely good),6 (extremely good),6 (extremely good),5,6 (always prefer numbers),1 (always prefer percentages),6 (very often),4.161,16.652,17.373,8,1 (Strongly Agree),4,5,4,4,2,7 (Strongly Disagree),2.612,34.402,35.504,7,No,15,5,1,100,60,90,90,4 weeks,2000,1.65,32.23,35.416,16,5.993,18.235,18.907,6,CNN,0,No,I agree a little,Somewhat Disapprove,2.602,3.234,3.588,2,10,I have copied my completion code.,7333
2020-04-24 15:30:13,2020-04-24 15:36:15,IP Address,99.151.192.227,100,362,True,2020-04-24 15:36:15,R_2f8PmUj7idQdPMM,,,,,32.753692626953125,-96.836700439453125,anonymous,EN,0,0,3.078,0,"Yes, I understand and consent",1.728,1.728,2.95,1,0,0,10.571,0,425000,500000,600000,37,31,22,900000,1500000,2800000,25,12,7,15000,23000,30000,40,34,25,23.868,151.87,153.201,19,A1LR3HQEOKAGM6,21,Male,,75208,Donald Trump,Some college,Some college,1,English,0.823,22.85,26.064,11,Slightly Better,Quite Good,Not at all,Several days,6.227,14.131,16.808,4,-1,1,-2,1,1,-2,-1,4.93,26.402,27.332,8,1 (not good at all),1 (not good at all),1 (not good at all),1 (not good at all),5,5,2,5,1.925,19.494,20.332,8,3,6,6,6,4,2,6,2.806,14.495,15.157,9,No,5,3,3,75,14,100,100,4 months+,500000,1.168,29.134,43.414,12,7.092,31.145,31.762,12,New York Times,8,No,I agree a lot,Strongly Disapprove,1.528,1.528,2.776,1,10,I have copied my completion code.,5383
2020-04-24 15:30:52,2020-04-24 15:37:12,IP Address,186.65.115.159,100,380,True,2020-04-24 15:37:12,R_2QyZgIxYHYI4Fcl,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,0,0,19.756,0,"Yes, I understand and consent",2.857,2.857,3.978,1,0,0,14.771,0,3000000,3300000,3400000,88,90,91,3300000,3500000,3800000,86,82,90,250000,280000,320000,91,96,98,30.022,179.495,180.006,27,AU5BD5NSSES9H,64,Male,,44410,Donald Trump,Advanced Degree,High school,0,English,1.355,18.274,24.268,8,Slightly worse,Quite Poor,More than half the days,More than half the days,1.512,8.073,8.902,6,2,-2,0,-1,2,-2,2,3.427,18.801,20.758,16,4,4,5,5,4,5,4,5,1.154,8.793,10.754,10,5,5,4,5,5,5,6,1.187,8.802,9.368,15,No,67,80,68,77,59,74,67,2 months,27000,1.521,19.023,30.859,21,2.757,15.595,16.125,8,Fox News,79,Yes,I agree a little,Somewhat Approve,2.472,2.951,3.267,2,10,I have copied my completion code.,8819
2020-04-24 15:41:28,2020-04-24 15:54:38,IP Address,97.82.123.129,100,790,True,2020-04-24 15:54:39,R_1DBuD7tfphjPQx8,,,,,42.395599365234375,-123.3527984619140625,anonymous,EN,0,0,13.399,0,"Yes, I understand and consent",2.569,2.569,3.77,1,0,0,1.395,0,301,9197,68211,56,41,68,301,9171,68211,59,41,67,38,150,1027,58,42,65,171.072,433.839,435.295,16,A171LP458WNH5K,49,Female,,76209,Donald Trump,4-year degree,Some college,6,English,6.014,62.456,72.199,13,Neither better nor worse,Quite Poor,Nearly every day,Several days,1.503,16.204,35.61,4,2,1,2,-2,1,-1,1,1.893,9.169,10.557,8,4,5,2,3,5,3,4,6 (very often),1.264,10.164,12.023,9,4,6,5,4,3,5,6,1.551,9.529,10.738,8,Yes,60,42,74,48,66,33,57,2 months,4,20.982,50.821,80.437,13,1.879,13.298,15.301,8,CBS News,58,Yes,I neither agree nor disagree,Somewhat Approve,1.532,1.532,2.275,1,8,I have copied my completion code.,9823
2020-04-24 15:54:18,2020-04-24 16:01:04,IP Address,98.171.41.85,100,406,True,2020-04-24 16:01:04,R_3ylC1bhda0XHFeh,,,,,33.8943939208984375,-112.86029815673828125,anonymous,EN,0,0,11.965,0,"Yes, I understand and consent",13.365,13.365,14.385,1,0,0,5.546,0,1500,8000,10000,71,60,49,1000,2000,4000,39,36,52,750,800,900,36,39,29,9.202,155.372,157.009,25,A38UFUOI99XQDR,32,Female,,85340,Donald trump,4-year degree,Some college,4,English,1.614,53.975,62.539,12,Slightly worse,Very Poor,More than half the days,Several days,7.916,11.631,12.866,4,1,2,1,3,1,2,1,1.791,10.055,11.215,8,4,5,6 (extremely good),5,4,5,4,5,1.599,13.43,15.873,10,1 (Strongly Agree),2,3,2,1 (Strongly Agree),2,6,9.826,17.371,18.675,11,No,34,66,56,39,65,46,81,2 months,2500,4.921,23.59,34.089,10,2.262,29.131,30.709,8,Fox News,47,Yes,I agree a little,Strongly Approve,1.81,1.81,3.113,1,8,I have copied my completion code.,7059
